Time / s,Power / W
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,33.00857668419448
13,688.7097144799762
14,3300.0519120370377
15,5716.713573881172
16,6944.259775908302
17,10830.531790021052
18,14686.955690226812
19,11760.418247980491
20,5479.995545112695
21,3102.4951614964384
22,2933.3438198993094
23,3190.0886913580257
24,5622.922326967593
25,7669.576925621088
26,9057.223858565292
27,13000.697936273538
28,14765.041621913584
29,15035.544911891757
30,12264.73249714458
31,8578.561726311253
32,6984.85310809375
33,6198.9867983801105
34,4764.570242798358
35,2337.1549607172255
36,-2539.6495207856947
37,-9825.148015834584
38,-13095.069534400729
39,-11202.35015384468
40,-9105.267005010677
41,-10538.488134928457
42,-12696.954158569568
43,-10348.403450257681
44,-5221.285509773667
45,-1485.7274693334675
46,-894.2981522633725
47,-1663.6049302340534
48,-1198.0523810394745
49,180.47617811690557
50,424.6462741388483
51,-1615.9042710905362
52,-3834.96523612778
53,-2579.7457110601463
54,-310.79843665933134
55,514.5555555555559
56,596.8600823045268
57,843.7736625514408
58,1118.760116576646
59,2702.448226851851
60,3462.897844457305
61,2032.641115162038
62,1787.8665201260274
63,2156.3349583333343
64,2749.8720414737672
65,2133.836946292486
66,1674.9814300244796
67,3723.7583185490007
68,7741.716394392528
69,11101.682422801401
70,13446.877236523113
71,14149.194123933094
72,12175.918755353601
73,8874.511947568964
74,6991.45838900082
75,6940.214141594265
76,7668.711662075144
77,7395.0236056932035
78,5144.739052404836
79,1654.5666399343743
80,-252.55960648148118
81,-2111.1492338129738
82,-1564.1730651744203
83,724.9475141937354
84,-546.794902408649
85,-1292.2939741774444
86,-1042.1333709109633
87,-562.0571284674454
88,-4317.102680555562
89,-13259.64856941825
90,-17031.683270126025
91,-14380.38395442768
92,-8226.949443206066
93,-4156.045637040847
94,-3600.670781893004
95,-3422.068927700141
96,-1905.1977347774728
97,-714.0696666666665
98,-436.5364223632068
99,-0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,35.75206090916019
139,860.9675292614501
140,4397.687797479899
141,8846.623211612654
142,8932.888360463343
143,5513.299802662036
144,3628.1331409727013
145,5225.677363816495
146,8404.446942386829
147,9914.084168933849
148,8752.364665278255
149,5844.049068891939
150,2090.209213096326
151,-3590.19337602881
152,-11187.36339948178
153,-14147.11466276101
154,-10150.366743253222
155,-4169.254610098976
156,20.72839506172765
157,2443.1889675925927
158,5156.8143633616255
159,7957.155420057919
160,9594.025179976852
161,9915.395569444441
162,8730.00241930299
163,9097.997082304526
164,8741.405994882163
165,7322.8581036689375
166,6475.72556835134
167,8996.155029873498
168,11754.19945983844
169,9408.72363374485
170,2855.197054564842
171,-5157.0770896395325
172,-13318.4473605324
173,-15240.140748837828
174,-9102.973995001237
175,-2099.3512519028163
176,2390.9655483705765
177,6207.119334817004
178,7831.987236835087
179,5243.226023624449
180,2276.0391025758286
181,850.4594928245463
182,-765.004429050448
183,-4442.513518920986
184,-6989.423828510801
185,-6993.748915256822
186,-5669.0003215020615
187,-4079.292789930553
188,-2879.7575881558632
189,-2004.3753870194155
190,-1259.1885427978775
191,-816.6358642237267
192,-417.5062300025714
193,22.96796559451608
194,188.9569751752782
195,432.251028806585
196,596.8600823045268
197,596.8600823045268
198,1008.3827160493827
199,1480.4439601075485
200,1986.9672329865873
201,2623.3170819996953
202,3329.0088091563784
203,5366.445786715535
204,7106.903747046944
205,8092.060009297365
206,10578.638974756135
207,12179.017315045821
208,12020.89506965402
209,14135.464715744552
210,15375.598636793173
211,12578.571285043727
212,10506.112210943453
213,9225.567057291662
214,10080.539898186258
215,12858.106983127092
216,15344.472415123457
217,16142.401175990226
218,15193.588203494131
219,13332.804799592279
220,11219.222991293253
221,8567.05469026017
222,6831.28400906635
223,6536.300585074192
224,6588.513829008545
225,7773.764144242495
226,8267.880821368672
227,7991.384895645196
228,7708.775597222244
229,7015.739618446133
230,5520.286069256296
231,3195.183188597882
232,-1849.829654530563
233,-8279.521563078719
234,-10257.334877502946
235,-7181.034143518522
236,-2625.865663065834
237,-1270.6941028806532
238,-4271.643156073783
239,-9989.622203034507
240,-13480.144173165763
241,-11009.891051585595
242,-9724.034183110902
243,-10187.260990607374
244,-9105.267005010677
245,-10538.488134928457
246,-12696.954158569568
247,-10348.403450257681
248,-5221.285509773667
249,-1485.7274693334675
250,-894.2981522633725
251,-1663.6049302340534
252,-1198.0523810394745
253,180.47617811690557
254,424.6462741388483
255,-1615.9042710905362
256,-2327.420654509124
257,431.48361083724006
258,4370.082300887821
259,7302.77758832257
260,8564.84434863207
261,9351.339487273277
262,11092.332891777645
263,14988.228769478263
264,18378.094839832447
265,18265.534233093756
266,14994.35397376542
267,13500.376921810697
268,13380.287822209366
269,12073.212218106997
270,8129.547146412042
271,2156.5440291114255
272,871.7500246913501
273,-2873.4801618441306
274,-10620.7705157155
275,-13363.820609053508
276,-14346.44903597012
277,-14719.452387136113
278,-17100.10505587706
279,-15230.902930491253
280,-6654.378523872123
281,3130.828305003048
282,11269.409393330383
283,14775.981226204087
284,17245.49162709572
285,18847.74869073169
286,19211.921538618353
287,21001.344301885674
288,22814.662246608732
289,20111.974685501937
290,11889.799724279837
291,3522.282485082305
292,-2283.0397818929896
293,-2938.0622235249184
294,-975.1309386407502
295,1262.3052962963152
296,3177.4953379796348
297,4472.181839506168
298,4835.816813850309
299,3891.1242053921715
300,2593.45616698342
301,959.2736039737795
302,-988.2222279187754
303,-2572.322109872746
304,-4703.520112178021
305,-6082.362255417904
306,-4486.130317081999
307,-1610.7341893004107
308,605.569880427443
309,871.8050148915152
310,34.84977930432121
311,-786.0688590154009
312,-2375.209590465927
313,-4131.013989502362
314,-5244.185185185183
315,-5045.927009907026
316,-4189.536586934154
317,-4700.715231936347
318,-5917.229938271602
319,-5936.020271300104
320,-2872.139877893516
321,-716.0683261697957
322,149.5120596064768
323,320.2939526106004
324,-360.53618229166653
325,624.7972698211937
326,788.7204522629029
327,290.20170202713354
328,-3711.6318937161845
329,-7084.485514248495
330,-3425.053817360637
331,-65.21580943025143
332,-294.53333357386236
333,-393.20343872170747
334,-173.11736213991807
335,-374.69489454732474
336,33.67839821721228
337,719.0306875166707
338,1823.8018550073346
339,4264.458158226643
340,7871.834202808262
341,10223.869835159943
342,7739.78631385507
343,3409.1209538370663
344,2238.783178824208
345,3308.1917197145026
